Stock,MSE,STD_annual,Return_annual,RETURN/STD
MMC,0.000643751,0.215235042,0.202469907,0.940692112
FIS,0.000823697,0.255355293,0.231283186,0.905730926
CTXS,0.000953846,0.249709546,0.231113654,0.925529911
AJG,0.000986777,0.232697862,0.256415052,1.101922678
ARE,0.001030971,0.25065109,0.18003126,0.718254448
SYK,0.001110602,0.275611438,0.228639327,0.829571256
PLD,0.001120775,0.272214927,0.248302502,0.912156085
LIN,0.001125303,0.244433478,0.219517392,0.898065985
DOV,0.001130394,0.295215616,0.234995736,0.796013909
UNP,0.001132049,0.280020724,0.244801564,0.874226592
AON,0.001311155,0.232312306,0.215746623,0.928692185
WM,0.001377108,0.201426566,0.206247158,1.023932253
L,0.001377852,0.28527478,0.039051996,0.136892562
LNT,0.001427705,0.22419541,0.164753234,0.734864438
TMO,0.001428671,0.247186222,0.242264343,0.980088378
CMS,0.001436869,0.222905273,0.168133168,0.754280803
INFO,0.001454208,0.273042962,0.237189936,0.868690901
NSC,0.001457567,0.309620349,0.262938128,0.849227544
CSCO,0.001512332,0.273058149,0.198114475,0.725539509
AXP,0.001558237,0.326402918,0.172500832,0.528490473
GRMN,0.001567574,0.27711691,0.291551201,1.052087371
BAX,0.001570539,0.242986547,0.237592592,0.977801427
HON,0.001591721,0.243572038,0.15761624,0.647103178
AWK,0.001595681,0.247743995,0.225847584,0.911616786
AMZN,0.001615228,0.295325782,0.349889629,1.184758157
HLT,0.001617325,0.294341422,0.207182112,0.703883643
WEC,0.001645813,0.240565114,0.1975959,0.821382188
TXN,0.001661304,0.296037238,0.266259355,0.899411697
CB,0.001689511,0.252071931,0.091005077,0.361028207
ALL,0.00169466,0.240555715,0.166211058,0.690946205
ECL,0.001700696,0.255376788,0.197882686,0.774865591
XEL,0.001707959,0.223851987,0.190773639,0.852231162
JPM,0.001708994,0.296618745,0.188019483,0.633875932
IEX,0.001720105,0.240815938,0.218022563,0.905349395
CRM,0.001791659,0.321461167,0.234421644,0.729237831
HD,0.001826747,0.259524254,0.20370358,0.784911533
AMT,0.001936072,0.259499671,0.276668734,1.066162177
ALLE,0.001971233,0.265618004,0.15692784,0.590802723
APH,0.001982526,0.242911539,0.195804946,0.806075114
ICE,0.001997191,0.240697962,0.198599552,0.825098602
ADP,0.002016235,0.260875737,0.192108318,0.7363978
RSG,0.002020407,0.19723181,0.198413382,1.005990777
ITW,0.002024161,0.265365923,0.210832307,0.794496538
YUM,0.002035386,0.256499967,0.188303056,0.734125069
SRE,0.002067124,0.265207574,0.138028067,0.52045296
TFX,0.002069132,0.294442222,0.288160118,0.97866439
AEP,0.002101533,0.218530695,0.142532537,0.652231196
MSI,0.002101548,0.268256501,0.235607126,0.878290464
GL,0.002104217,0.273380288,0.132363558,0.484173747
ADI,0.002115124,0.323154178,0.258941661,0.801294486
FISV,0.002151494,0.261303365,0.229372537,0.877801694
CDW,0.002157525,0.30383982,0.29617158,0.97476223
V,0.002164307,0.262525136,0.254803808,0.970588234
ROK,0.002231784,0.31661456,0.250426848,0.790951773
SHW,0.002232282,0.275260844,0.233036785,0.846603469
ROP,0.002237881,0.251972573,0.212434604,0.84308622
ATO,0.00225046,0.233345749,0.166043344,0.711576468
VRSK,0.002252752,0.230771191,0.205735976,0.891514991
NDAQ,0.002278365,0.248092753,0.215730907,0.86955747
AFL,0.00229449,0.289205767,0.138136264,0.477640073
MTD,0.002300749,0.268267673,0.248505431,0.926333867
SYY,0.002301091,0.334205616,0.166462856,0.498085154
ZTS,0.002315605,0.256242011,0.286896462,1.119630859
ADSK,0.002324123,0.385325651,0.372764157,0.967400317
DRE,0.002357329,0.266571752,0.196220898,0.736090364
INTU,0.002359334,0.292073698,0.301115487,1.030957218
FMC,0.002396444,0.347751921,0.326514126,0.938928318
DPZ,0.002451066,0.31624663,0.342714716,1.083694443
AEE,0.00245473,0.24321183,0.18145727,0.746087351
PAYX,0.002490064,0.265089373,0.150867436,0.569119141
A,0.002531837,0.268811938,0.228249648,0.849105324
AVY,0.002555683,0.286854156,0.211304443,0.736626743
HUM,0.002558772,0.322334855,0.235405054,0.730312127
GOOGL,0.00256671,0.260362395,0.174943939,0.671924756
IDXX,0.002594363,0.294974276,0.377158974,1.278616489
KEYS,0.002597848,0.328162445,0.348798372,1.062883267
BDX,0.002602732,0.235718246,0.154465456,0.655296984
OKE,0.00261342,0.477350809,0.289346009,0.606149614
BAC,0.002620128,0.340983522,0.188164167,0.55182774
GOOG,0.002621144,0.260272942,0.179867829,0.691073869
JKHY,0.002623771,0.220471295,0.227677664,1.032686204
NEE,0.002640456,0.230443769,0.25665014,1.113721325
UNH,0.00264671,0.284781365,0.268924961,0.94432078
CE,0.002659078,0.321498816,0.159231542,0.495278782
CTAS,0.002660879,0.296063264,0.307069192,1.037174244
ZBRA,0.002661199,0.409475009,0.394114073,0.962486268
COO,0.002691253,0.262237834,0.231673903,0.883449578
DLR,0.002752085,0.277658666,0.205662553,0.740702807
EXPD,0.002767797,0.232307492,0.168523867,0.725434491
IQV,0.002786353,0.301157371,0.23001658,0.763775362
SPGI,0.002813719,0.279051684,0.331285091,1.187181837
CBRE,0.002818955,0.348768959,0.150058368,0.430251502
LHX,0.002820791,0.270344488,0.241695254,0.894026936
GPN,0.002870234,0.329254823,0.298826045,0.907582894
WLTW,0.002883644,0.249030022,0.156736523,0.629388064
RJF,0.002975971,0.342678921,0.150013423,0.437766709
PEP,0.003013799,0.211370101,0.114048123,0.539566016
BBY,0.003019356,0.399552011,0.323024666,0.808467127
RMD,0.003052237,0.315291826,0.321221665,1.01880746
AME,0.00308293,0.271291903,0.175780449,0.647938428
APD,0.003088063,0.248706918,0.219689567,0.883327128
CCI,0.003121118,0.25123803,0.220907106,0.879274154
CINF,0.003160047,0.28997571,0.095498254,0.32933191
WRB,0.003169873,0.250544332,0.176110358,0.702910963
LMT,0.003184092,0.243537297,0.200939851,0.825088613
MXIM,0.003240692,0.306955347,0.193632871,0.630817717
PH,0.003256471,0.339645972,0.238613145,0.702534889
CME,0.003286746,0.268732165,0.237381816,0.883339795
DHR,0.003308847,0.326978517,0.339684582,1.03885902
RTX,0.003322796,0.292388781,0.094118767,0.321895959
AVGO,0.003458981,0.360209703,0.268971728,0.746708726
EMR,0.003478588,0.30573343,0.147390757,0.48208911
MDLZ,0.003568512,0.239745593,0.083999539,0.350369482
XYL,0.003569433,0.279903442,0.203966738,0.728703927
